CompanyName,CIK
QAD INC,0001036188
QUALYS INC,0001107843
QUMU CORP,0000892482
RAADR INC,0001384365
RAND WORLDWIDE INC,0000852437
RAPID7 INC,0001560327
REALNETWORKS INC,0001046327
REALPAGE INC,0001286225
RIGHTSCORP INC,0001506270
RINGCENTRAL INC,0001384905
RIOT BLOCKCHAIN INC,0001167419
ROCKETFUEL BLOCKCHAIN INC,0000823546
ROSETTA STONE INC,0001351285
SALESFORCE.COM INC,0001108524
SCIENT INC,0001158019
SEACHANGE INTERNATIONAL INC,0001019671
SECUREWORKS CORP,0001468666
SERVICENOW INC,0001373715
SHARPSPRING INC,0001506439
SHOTSPOTTER INC,0001351636
SIMTROL INC,0000846775
SITO MOBILE LTD,0001157817
SLACK TECHNOLOGIES INC,0001764925
SMARTMETRIC INC,0001301991
SMARTSHEET INC,0001366561
SMITH MICRO SOFTWARE INC,0000948708
SNOWFLAKE INC,0001640147
SOFTECH INC,0000354260
SOLARWINDS CORP,0001739942
SONIC FOUNDRY INC,0001029744
SPLUNK INC,0001353283
SPROUT SOCIAL INC,0001517375
SPS COMMERCE INC,0001092699
SSI INVESTMENTS II LTD,0001501919
SUMO LOGIC INC,0001643269
SVMK INC,0001739936
SYNACOR INC,0001210634
SYNCHRONOSS TECHNOLOGIES,0001131554
SYNOPSYS INC,0000883241
TAUTACHROME INC,0001389067
TELENAV INC,0001353536
TENABLE HOLDINGS INC,0001660280
TERADATA CORP,0000816761
THEGLOBE.COM INC,0001066684
TIBCO SOFTWARE INC,0001085280
TINTRI INC,0001554875
TMM INC,0000939652
TRADE DESK INC,0001671933
TWILIO INC,0001447669
TYLER TECHNOLOGIES INC,0000860731
ULTIMATE SOFTWARE GROUP INC,0001016125
UNITRONIX CORP,0000835270
UNITY SOFTWARE INC,0001810806
UPLAND SOFTWARE INC,0001505155
VARONIS SYSTEMS INC,0001361113
VEEVA SYSTEMS INC,0001393052
VERINT SYSTEMS INC,0001166388
VERITONE INC,0001615165
VERTEX INC,0001806837
VIRNETX HOLDING CORP,0001082324
VIVA ENTERTAINMENT GROUP INC,0001479000
VOYAGER DIGITAL LTD,0001827032
VUBOTICS INC,0001100981
WOD RETAIL SOLUTIONS,0000704366
WORKDAY INC,0001327811
WORKIVA INC,0001445305
XCELMOBILITY INC,0001465509
XPERI HOLDING CORP,0001803696
YAPPN CORP,0001511735
YEXT INC,0001614178
ZENDESK INC,0001463172
ZIX CORP,0000855612
ZOOM TELEPHONICS INC,0000822708
ZOOMAWAY TRAVEL INC,0001541054
ZOOMINFO TECHNOLOGIES,0001794515
ZSCALER INC,0001713683
ZUORA INC,0001423774
